timestamp,event_type,prev_pattern,prev_stage,new_pattern,new_stage,summary
2017-10-05T00:00:00,INITIAL_DETECTION,UNKNOWN,UNKNOWN,DIAGONAL,Wave 1/5 (Diagonal),First non-UNKNOWN detection: DIAGONAL / Wave 1/5 (Diagonal) (per rule match).
2017-10-23T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2017-11-07T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2017-12-01T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2017-12-19T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2018-03-07T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2018-03-14T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2018-04-23T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2018-05-07T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2018-06-07T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2018-06-15T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2018-06-26T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2018-07-01T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2018-07-09T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2018-07-22T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2018-07-31T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2018-08-17T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2018-08-22T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2018-09-01T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2018-09-06T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2018-09-16T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2018-12-10T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2018-12-17T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2019-04-25T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2019-05-06T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2019-05-21T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2019-05-29T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
2019-07-06T00:00:00,PATTERN_CHANGE,DIAGONAL,Wave 1/5 (Diagonal),IMPULSE,Wave 1-5,Pattern changed from DIAGONAL to IMPULSE (per rule match).
2019-07-12T00:00:00,PATTERN_CHANGE,IMPULSE,Wave 1-5,DIAGONAL,Wave 1/5 (Diagonal),Pattern changed from IMPULSE to DIAGONAL (per rule match).
