date,close,trend_pred,real_trend,hit
50,4369.0,UP,UP,1
51,4423.0,UP,UP,1
52,4640.0,UP,UP,1
53,4786.95,UP,DOWN,0
54,4783.06,UP,UP,1
55,4821.43,UP,UP,1
56,5430.0,UP,UP,1
57,5649.98,UP,UP,1
58,5869.99,UP,DOWN,0
59,5709.99,UP,UP,1
60,5760.02,UP,DOWN,0
61,5595.0,UP,DOWN,0
62,5512.06,UP,UP,1
63,5683.9,UP,UP,1
64,6010.01,UP,UP,1
65,6024.97,UP,DOWN,0
66,5950.02,UP,DOWN,0
67,5915.93,UP,DOWN,0
68,5477.03,UP,UP,1
69,5689.99,UP,UP,1
70,5861.77,UP,DOWN,0
71,5768.83,UP,DOWN,0
72,5719.64,UP,UP,1
73,6169.98,UP,DOWN,0
74,6120.5,UP,UP,1
75,6463.0,UP,UP,1
76,6753.98,UP,UP,1
77,7019.98,UP,UP,1
78,7115.04,UP,UP,1
79,7357.09,UP,DOWN,0
80,7345.01,UP,DOWN,0
81,6960.12,UP,UP,1
82,7064.04,UP,UP,1
83,7303.0,UP,DOWN,0
84,7079.99,UP,DOWN,0
85,6506.98,UP,DOWN,0
86,6245.05,UP,DOWN,0
87,5811.03,UP,UP,1
88,6465.99,UP,UP,1
89,6574.99,UP,UP,1
90,7240.06,UP,UP,1
91,7864.5,UP,DOWN,0
92,7699.19,UP,UP,1
93,7761.94,UP,UP,1
94,8038.0,UP,UP,1
95,8212.0,UP,DOWN,0
96,8119.51,UP,UP,1
97,8205.92,UP,DOWN,0
98,8019.99,UP,UP,1
99,8138.0,UP,UP,1
100,8700.01,UP,UP,1
101,9128.02,UP,UP,1
102,9650.0,UP,UP,1
103,9896.8,UP,DOWN,0
104,9687.88,UP,UP,1
105,9838.96,UP,UP,1
106,10782.99,UP,UP,1
107,10890.01,UP,UP,1
108,11165.41,UP,UP,1
109,11579.0,UP,UP,1
110,11699.99,UP,UP,1
111,13550.05,UP,UP,1
112,16599.0,UP,DOWN,0
113,15880.0,UP,DOWN,0
114,14656.07,UP,UP,1
115,14899.98,UP,UP,1
116,16587.97,UP,DOWN,0
117,16349.99,UP,DOWN,0
118,16033.29,UP,UP,1
119,16334.98,UP,UP,1
120,17539.83,UP,UP,1
121,19102.66,UP,DOWN,0
122,18860.02,UP,DOWN,0
123,18856.25,UP,DOWN,0
124,17295.2,UP,DOWN,0
125,16488.98,UP,DOWN,0
126,15492.64,UP,DOWN,0
127,13326.61,UP,DOWN,0
128,13300.0,UP,UP,1
129,13500.0,UP,UP,1
130,13699.34,SIDE,UP,0
131,15689.01,SIDE,DOWN,0
132,15459.99,SIDE,DOWN,0
133,14182.11,SIDE,UP,0
134,14378.9,SIDE,DOWN,0
135,12440.01,DOWN,UP,0
136,13716.36,DOWN,DOWN,1
137,13380.0,DOWN,UP,0
138,14675.11,SIDE,UP,0
139,14919.51,SIDE,UP,0
140,15059.54,SIDE,UP,0
141,16960.39,SIDE,UP,0
142,17069.79,SIDE,DOWN,0
143,16150.03,SIDE,DOWN,0
144,14902.54,UP,DOWN,0
