date,close,trend_pred,real_trend,hit
2017-10-06,4369.0,CORRECTION,UP,0
2017-10-07,4423.0,CORRECTION,UP,0
2017-10-08,4640.0,IMPULSE_PROGRESS,UP,0
2017-10-09,4786.95,IMPULSE_PROGRESS,DOWN,0
2017-10-10,4783.06,IMPULSE_PROGRESS,UP,0
2017-10-11,4821.43,IMPULSE_PROGRESS,UP,0
2017-10-12,5430.0,IMPULSE_PROGRESS,UP,0
2017-10-13,5649.98,IMPULSE_PROGRESS,UP,0
2017-10-14,5869.99,IMPULSE_PROGRESS,DOWN,0
2017-10-15,5709.99,IMPULSE_PROGRESS,UP,0
2017-10-16,5760.02,IMPULSE_PROGRESS,DOWN,0
2017-10-17,5595.0,IMPULSE_PROGRESS,DOWN,0
2017-10-18,5512.06,CORRECTION,UP,0
2017-10-19,5683.9,CORRECTION,UP,0
2017-10-20,6010.01,CORRECTION,UP,0
2017-10-21,6024.97,IMPULSE_PROGRESS,DOWN,0
2017-10-22,5950.02,IMPULSE_PROGRESS,DOWN,0
2017-10-23,5915.93,IMPULSE_PROGRESS,DOWN,0
2017-10-24,5477.03,IMPULSE_PROGRESS,UP,0
2017-10-25,5689.99,CORRECTION,UP,0
2017-10-26,5861.77,CORRECTION,DOWN,0
2017-10-27,5768.83,CORRECTION,DOWN,0
2017-10-28,5719.64,CORRECTION,UP,0
2017-10-29,6169.98,IMPULSE_PROGRESS,DOWN,0
2017-10-30,6120.5,IMPULSE_PROGRESS,UP,0
2017-10-31,6463.0,IMPULSE_PROGRESS,UP,0
2017-11-01,6753.98,IMPULSE_PROGRESS,UP,0
2017-11-02,7019.98,IMPULSE_PROGRESS,UP,0
2017-11-03,7115.04,IMPULSE_PROGRESS,UP,0
2017-11-04,7357.09,IMPULSE_PROGRESS,DOWN,0
2017-11-05,7345.01,IMPULSE_PROGRESS,DOWN,0
2017-11-06,6960.12,IMPULSE_PROGRESS,UP,0
2017-11-07,7064.04,CORRECTION,UP,0
2017-11-08,7303.0,CORRECTION,DOWN,0
