setup_dir,swing_a_time,swing_b_time,entered,entry_time,entry_price,tp_price,sl_by_ratio,result,bars_hold
short,15,18,1,51.0,4423.0,4100.11,0.786,TIMEOUT,80
long,18,21,1,44.0,4378.51,4691.61,0.786,SL,8
short,21,28,1,32.0,4035.01,3189.02,0.786,TIMEOUT,80
long,28,32,1,35.0,3609.99,4035.01,0.786,SL,4
short,32,36,1,37.0,3780.0,3595.87,0.786,SL,1
long,36,58,1,459.0,4910.03,5869.99,0.786,TIMEOUT,80
short,58,62,1,63.0,5683.9,5512.06,0.786,TP,5
long,62,65,1,71.0,5768.83,6024.97,0.786,TP,2
short,65,68,1,69.0,5689.99,5477.03,0.786,TIMEOUT,80
long,68,79,1,85.0,6506.98,7357.09,0.786,SL,5
short,79,87,1,88.0,6465.99,5811.03,0.786,TIMEOUT,80
long,87,112,1,135.0,12440.01,16599.0,0.786,SL,3
short,112,128,1,138.0,14675.11,13300.0,0.786,TP,9
long,128,131,1,134.0,14378.9,15689.01,0.786,TP,7
short,131,135,1,136.0,13716.36,12440.01,0.786,TP,16
long,135,142,1,144.0,14902.54,17069.79,0.786,TIMEOUT,80
short,142,152,1,1167.0,13636.17,10900.0,0.786,TIMEOUT,80
long,152,164,1,198.0,11464.48,11879.95,0.786,TIMEOUT,80
short,164,172,1,179.0,8903.0,6939.99,0.786,SL,33
long,172,187,1,203.0,9271.64,11200.99,0.786,TIMEOUT,80
short,187,192,1,193.0,10324.0,9590.0,0.786,SL,9
long,192,199,1,201.0,10716.48,11515.0,0.786,TIMEOUT,80
short,199,212,1,250.0,9619.99,7824.8,0.786,SL,17
long,212,215,1,220.0,8470.15,8909.98,0.786,SL,26
short,215,232,1,238.0,7923.0,6601.39,0.786,SL,59
long,232,250,1,267.0,8400.0,9619.99,0.786,TIMEOUT,80
short,250,284,1,341.0,8397.24,7099.0,0.786,SL,8
long,284,290,1,335.0,7381.9,7714.26,0.786,TP,5
short,290,300,1,352.0,7009.84,6292.78,0.786,TP,4
long,300,307,1,320.0,6513.86,6761.51,0.786,SL,4
short,307,309,1,317.0,6390.07,6045.0,0.786,SL,41
long,309,324,1,328.0,6378.07,6756.98,0.786,SL,5
short,324,330,1,357.0,6529.79,6214.57,0.786,TP,1
long,330,341,1,350.0,7525.71,8397.24,0.786,TIMEOUT,80
short,341,358,1,376.0,7076.11,6144.01,0.786,SL,9
long,358,365,1,366.0,6387.96,6584.49,0.786,SL,5
short,365,368,1,386.0,6395.54,6254.84,0.786,TP,1
long,368,383,1,384.0,6700.0,7359.06,0.786,TIMEOUT,80
short,383,387,1,400.0,6759.02,6185.05,0.786,SL,20
long,387,394,1,397.0,6336.45,6514.96,0.786,SL,2
short,394,396,1,398.0,6391.89,6248.69,0.786,SL,22
long,396,400,1,404.0,6447.54,6759.02,0.786,SL,2
short,400,404,1,407.0,6634.58,6447.54,0.786,SL,5
long,404,417,1,431.0,6581.2,6673.01,0.786,TIMEOUT,80
short,417,420,1,436.0,6505.6,6252.68,0.786,SL,3
long,420,425,1,428.0,6528.88,6759.27,0.786,TIMEOUT,80
short,425,439,1,446.0,6519.11,6330.87,0.786,SL,3
long,439,447,1,448.0,6479.84,6578.46,0.786,TIMEOUT,80
short,447,466,1,594.0,4932.6,3862.2,0.786,TIMEOUT,80
long,466,469,1,470.0,4041.32,4295.84,0.786,TIMEOUT,80
short,469,485,1,488.0,3652.98,3211.72,0.786,SL,41
long,485,490,1,497.0,3567.91,4049.62,0.786,SL,10
short,490,497,1,498.0,3839.26,3567.91,0.786,SL,13
long,497,507,1,556.0,3743.56,3987.6,0.786,SL,13
short,507,514,1,542.0,3680.06,3476.81,0.786,TIMEOUT,80
long,514,520,1,523.0,3570.93,3665.3,0.786,SL,17
short,520,522,1,545.0,3609.4,3526.9,0.786,TIMEOUT,80
long,522,534,0,,,3504.77,0.786,SKIP,0
short,534,539,0,,,3398.4,0.786,SKIP,0
long,539,542,0,,,3680.06,0.786,SKIP,0
short,542,546,0,,,3590.56,0.786,SKIP,0
long,546,555,1,557.0,3827.92,4117.76,0.786,SL,19
short,555,556,1,569.0,3943.04,3743.56,0.786,TIMEOUT,80
long,556,569,1,573.0,3866.0,3943.04,0.786,SL,2
short,569,585,0,,,3936.12,0.786,SKIP,0
long,585,601,0,,,5308.25,0.786,SKIP,0
short,601,602,1,605.0,5131.3,5017.37,0.786,SL,1
long,602,614,1,616.0,5219.9,5493.31,0.786,SL,7
short,614,616,1,622.0,5383.2,5219.9,0.786,TIMEOUT,80
long,616,636,1,829.0,6903.28,8169.87,0.786,SL,5
short,636,639,1,643.0,7628.43,7257.45,0.786,TIMEOUT,80
long,639,648,1,655.0,8115.82,8756.32,0.786,SL,11
short,648,661,1,664.0,8127.64,7628.13,0.786,TIMEOUT,80
long,661,678,1,682.0,10854.1,13093.8,0.786,SL,3
short,678,683,1,685.0,11940.0,10624.93,0.786,SL,1
long,683,691,1,694.0,11757.22,12543.41,0.786,TIMEOUT,80
short,691,698,1,700.0,10627.16,9439.59,0.786,SL,5
long,698,721,1,726.0,10892.71,11999.77,0.786,TIMEOUT,80
short,721,727,1,732.0,10915.54,10050.37,0.786,SL,2
long,727,732,1,736.0,10389.55,10915.54,0.786,TIMEOUT,80
short,732,735,1,748.0,10567.02,10099.88,0.786,TP,6
long,735,747,1,750.0,10298.73,10615.28,0.786,TIMEOUT,80
short,747,754,1,756.0,10415.01,10098.15,0.786,SL,5
long,754,776,1,800.0,9230.0,8359.94,0.786,TP,1
short,776,780,1,789.0,8159.29,7854.25,0.786,SL,3
long,780,783,1,785.0,8258.5,8560.74,0.786,TP,14
short,783,798,1,825.0,8098.01,7412.41,0.786,SL,1
long,798,801,1,819.0,8646.68,9529.93,0.786,SL,75
short,801,805,1,807.0,9289.52,9140.85,0.786,SL,1
long,805,809,1,900.0,9292.24,9393.35,0.786,TP,2
short,809,829,1,873.0,8145.28,6903.28,0.786,TP,65
long,829,834,1,836.0,7390.89,7739.68,0.786,TP,36
short,834,839,1,841.0,7527.47,7194.32,0.786,SL,4
long,839,841,1,844.0,7338.64,7527.47,0.786,SL,13
short,841,852,1,854.0,7150.3,6623.82,0.786,TIMEOUT,80
long,852,857,1,868.0,6965.71,7501.44,0.786,SL,1
short,857,868,1,964.0,7197.32,6965.71,0.786,TP,3
long,868,884,1,934.0,8033.31,8915.96,0.786,SL,52
short,884,891,1,892.0,8615.0,8340.58,0.786,TP,42
long,891,896,1,924.0,8823.21,9513.21,0.786,TP,70
short,896,901,1,1003.0,9381.27,9197.02,0.786,TP,5
long,901,911,1,912.0,9904.72,10344.36,0.786,SL,3
short,911,916,1,920.0,9936.4,9593.79,0.786,SL,1
long,916,932,1,1000.0,9309.37,9131.88,0.786,TP,1
short,932,938,1,949.0,6467.31,4800.0,0.786,TIMEOUT,80
long,938,950,1,955.0,5881.42,6744.72,0.786,SL,1
short,950,955,1,956.0,6394.38,5881.42,0.786,TIMEOUT,80
long,955,965,1,972.0,6621.24,7361.28,0.786,SL,1
short,965,972,1,974.0,7027.55,6621.24,0.786,TIMEOUT,80
long,972,994,1,998.0,8561.52,9986.4,0.786,SL,2
short,994,998,1,1000.0,9309.37,8561.52,0.786,SL,11
long,998,1001,1,1002.0,9316.42,9791.98,0.786,SL,2
short,1001,1011,1,1014.0,9204.07,8720.34,0.786,TIMEOUT,80
long,1011,1019,1,1020.0,9518.04,10200.77,0.786,SL,8
short,1019,1029,1,1040.0,9685.69,9280.4,0.786,SL,2
long,1029,1034,1,1036.0,9386.32,9525.59,0.786,TP,4
short,1034,1045,1,1049.0,9232.0,9012.0,0.786,SL,1
long,1045,1056,1,1057.0,9232.43,9436.06,0.786,SL,12
short,1056,1064,0,,,9133.72,0.786,SKIP,0
long,1064,1080,1,1114.0,10446.25,11801.17,0.786,SL,36
short,1080,1090,1,1091.0,11564.33,11392.08,0.786,TP,13
long,1090,1096,1,1098.0,11754.59,12281.13,0.786,TP,63
short,1096,1104,1,1109.0,11711.16,11318.42,0.786,SL,3
long,1104,1111,0,,,11921.97,0.786,SKIP,0
short,1111,1118,1,1126.0,10954.01,10126.65,0.786,SL,5
long,1118,1129,1,1132.0,10529.61,11080.65,0.786,SL,16
short,1129,1133,1,1134.0,10736.32,10241.46,0.786,TIMEOUT,80
long,1133,1139,1,1142.0,10570.4,10840.48,0.786,SL,3
short,1139,1143,1,1144.0,10666.63,10542.06,0.786,SL,2
long,1143,1152,0,,,11528.25,0.786,SKIP,0
short,1152,1156,0,,,11319.32,0.786,SKIP,0
long,1156,1176,0,,,15590.02,0.786,SKIP,0
short,1176,1198,1,1914.0,16329.85,17139.52,0.786,TP,1
long,1198,1201,1,1205.0,18650.52,19695.87,0.786,SL,2
