date,close,support,resistance,atr14,buffer,support_hit_h1,support_d2h_h1,resist_hit_h1,resist_d2h_h1,support_hit_h3,support_d2h_h3,resist_hit_h3,resist_d2h_h3,support_hit_h5,support_d2h_h5,resist_hit_h5,resist_d2h_h5
1970-01-01 00:00:00.000000030,3714.95,2817.0,4939.19,453.46557477397533,7.4299,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000031,3699.99,2817.0,4939.19,438.87446229012,7.399979999999999,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000032,4035.01,2817.0,4939.19,438.46914355511143,8.070020000000001,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000033,3910.04,2817.0,4939.19,425.6542047297463,7.82008,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000034,3900.0,2817.0,4939.19,411.3989043919073,7.8,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000035,3609.99,2817.0,4939.19,406.51326836391394,7.21998,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000036,3595.87,2817.0,4939.19,394.9373206236344,7.19174,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000037,3780.0,2817.0,4939.19,386.3189405790891,7.5600000000000005,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000038,3660.02,2817.0,4939.19,370.66973053772557,7.3200400000000005,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000039,3920.75,2817.0,4939.19,367.49189264217375,7.8415,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000040,3882.35,2817.0,4939.19,350.3096145963042,7.7647,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000041,4193.0,2817.0,4939.19,352.22535641085386,8.386000000000001,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000042,4174.5,2817.0,4939.19,341.28068809579287,8.349,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000043,4174.69,2817.0,4939.19,339.1784960889505,8.34938,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000044,4378.51,2817.0,4939.19,332.2300320825969,8.75702,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000045,4378.48,2817.0,4939.19,320.39074407669716,8.75696,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000046,4380.0,2817.0,4939.19,311.9078337855045,8.76,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000047,4310.0,2817.0,4788.59,310.0951313722542,8.620000000000001,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000000048,4208.59,2817.0,4788.59,304.4454791313789,8.41718,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000000049,4292.43,2817.0,4788.59,300.19937347913753,8.58486,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000000050,4369.0,2817.0,4788.59,287.685132516342,8.738,0,,0,,0,,1,3.0,0,,1,3.0
